"name","description","category","price","seller","url1","url2","url3","url4"
"Minion ""Battlefield"" Mousepad","High-quality mousepad with an anti-slip bottom depicting the fight that rages on between minions on the battlefield.","mousepad","12","League Mousepad Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltb402528fe00cd43f/5f5870d6c613160f9263aa81/08-22-2019_2020_45_51_504_minionmousepad_promo_detail_1000x1000.png","","",""
"Yuumi Mousepad","Premium double-stitched mousepad features Yuumi, The Magical Cat in her base splash art.

Premium double-stitched mousepad features Yuumi, The Magical Cat in her base splash art.

","mousepad","24","League Mousepad Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltf53db8eea8765d33/601dc323f13a6d4c0c256f68/Yuuml_MP_portraits.png","","",""
"Dunkmaster Darius Mousepad","High-quality mousepad with an anti-slip bottom featuring Dunkmaster Darius.","mousepad","18","League Mousepad Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt6675b7794dd12f44/5f594389049e1762e40e3343/05-02-2019_2018_27_35_881_DunkMaster_Mousepad_.png","","",""
"K/DA XL Mousepad","Make your popstar dreams come true with the band as they slay on this XL mousepad.","mousepad","45","League Mousepad Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt25a11e5e7e8fe4d9/5f59431bd8afba57ab628031/09-03-2019_2020_53_44_567_KDA_promo_splashartmousepad_altview_1000x1000.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt5e6871dc9248acf1/5f59431c530805658edde7bb/09-03-2019_2020_53_44_554_KDA_promo_splashartmousepad_1000x1000.png","",""
"K/DA Album Art XL Mousepad","Ahri, Akali, Kai'Sa, and Evelynn are here to breakout into the scene.","mousepad","25","League Mousepad Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt9fd118df56cbac23/5f587096dcf77c68dcf487ac/09-03-2019_2020_52_35_740_KDA_promo_MVmousepad_altview_1000x1000.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltca4c5af005d270c0/5f58709752d8f50f4bb6b0e2/09-03-2019_2020_52_35_737_KDA_promo_MVmousepad_1000x1000.png","",""
"PROJECT: Vayne Mousepad","Trace 11: PROJECT: Vayne. Augmented with classified tech, Vayne was once a member of PROJECT's counter espionage unit. After she was betrayed by the corporation she served, she now stalks the shadows as a vigilante, searching for ways to break PROJECT and the technology that haunts her soul.","mousepad","18","League Mousepad Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt97f7043aa5dc05ab/5f5870239d306a6bd264c9bc/08-14-2019_2022_18_46_884_2019_PROJECT_1000x1000_ProductImages_VayneMousepad.png","","",""
"Spirit Blossom Teemo Beanie","Be as mischievous as Spirit Blossom Teemo

","hat","30","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltfcc2e22c8586edd7/5f58727ad118c94ffb890809/07-16-2020230117877_SB_Beanie_1.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt665fbc176e6dbf42/5f58727abcdb0d4d93ca999c/07-16-2020230117894_SB_Beanie_2.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltf312d5b0b9c58c67/5f58727bfc190c30d5f32d2d/07-16-2020230122483_SB_Beanie_3.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt5b728514367ae3c3/5f58727b5055ab4ffa3295cd/07-16-2020230122486_SB_Beanie_4.png"
"Teemo Hat
","We can’t guarantee that standing really still while wearing this Teemo hat will turn you invisible, but it never hurts to try.","hat","20","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltc040bd6ec6b410c0/5f593f79339eb80904a19326/2018-09-07_2000_03_27.229_plush_teemohat.png","","",""
"Red Minion Hat","Join the red side in comfort with this incredibly soft hat.","hat","20","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt1bf7b366bfe3b9f3/5f5872487da9046bd84f0a5c/08-06-2020214926390_MM_HAT_Productpic_1000X1000_FRONT.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blte2f55422deb9e376/5f5872489947b12f71935313/08-06-2020214929560_MM_HAT_Productpic_1000X1000_Threefourth.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt534f6a1d03314ac9/5f5872487dd0df5165823258/08-06-2020214926403_MM_HAT_Productpic_1000X1000_side.png",""
"K/DA ALL OUT Suede Dad Hat","K/DA returns with their new EP as queens of the music world.","hat","30","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt0504e0e176dfcfce/5f90a9906ffd1b42dc42dbe5/KDA_DAD_HAT_00.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt5a70e2e299d20dcc/5f90a99a3f5233264207a01d/KDA_DAD_HAT_01.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt593830d52f11b5f0/5f90a99a3bf9954172cf9fbd/KDA_DAD_HAT_02.png",""
"Dunkmaster Darius Snapback","""Better call traveling because I'm going places.""","hat","30","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt1a95dafc9f66d64b/5f587000bcdb0d4d93ca98e4/04-25-2019_2023_16_08_420_13.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt36e7a54537791687/5f58700152d8f50f4bb6b0da/04-25-2019_2023_16_08_404_12.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt434e753470feee54/5f587001b125010f7c6c9f05/04-25-2019_2023_16_01_546_10.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt4c60cea5b31582ab/5f58700161b5351bb39ee2d3/04-25-2019_2023_16_01_560_11.png"
"Pool Party ""Squid"" Dad Hat","Get your pool party on with your favorite squid buddy.","hat","30","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt3bba9392f2a823af/5f58702fb9676a65a83819ce/06-12-2019_2017_26_09_830_cap-black-front-v3.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt9e6436ef789816f9/5f58702f50f9965a66d50142/06-12-2019_2017_26_09_817_cap-black-back-v1.png","",""
"K/DA AKALI SNAPBACK","K/DA AKALI SNAPBACK","hat","30","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt385613b5d001837b/5f59431f8624ce748ab9a2d9/01-31-2019_2021_28_24_900_KDA_Snapback02.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blta618bde084669635/5f594320d3a36875e705a836/01-31-2019_2021_28_31_690_KDA_Snapback03.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltf582163c5f9f3171/5f594320f4927775e6352524/01-31-2019_2021_28_24_824_KDA_Snapback01.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt523570b0b82b8929/5f594321d6449530d09f1225/01-31-2019_2021_28_31_695_KDA_Snapback04.png"
"Pool Party ""Coconut"" Dad Hat","Mmmm. Enjoy a tropical drink with a tropical hat.","hat","30","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blta96d76774904fa99/5f5870367da9046bd84f09d4/06-12-2019_2017_27_50_482_cap-yellow-front-v2.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blta0b779f3b22884d7/5f587037543e341e46bf2725/06-12-2019_2017_27_50_477_cap-yellow-back-v1.png","",""
"League Comic Inspired Snapback Hat","Grab some League of Legends comic inspired style for your head.","hat","11","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt32f65b31c89fd0d6/5f586d750f825a0f352dbcee/2018-09-11_2001_42_57.810_10.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltdd3cb499c6c1a6fd/5f586d767d872159169c5e02/2018-09-11_2001_42_59.357_10-1.jpg","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blta2f086bdfa5947e0/5f586d76b125010f7c6c9bc5/2018-09-11_2001_43_00.172_hat-brim.jpg","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/blt861a6e80f155425c/5f586d77de2bf952b9993529/2018-09-11_2001_43_02.557_back.jpg"
"Pool Party ""Pineapple"" Dad HatPool Party ""Pineapple"" Dad Hat","Nothing says delicious fun at the beach quite like a pineapple.","hat","30","League Hat Maker","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltb8089b7cf8a87c52/5f587032de2bf952b9993551/06-12-2019_2017_27_09_662_cap-green-front-v3.png","https://images.contentstack.io/v3/assets/blt5bbf09732528de36/bltf087161945825d83/5f587033fc190c30d5f32c77/06-12-2019_2017_27_11_510_cap-green-back-v1.png","",""
